ass1;ass2;dif
05.558;05.562;0.291971
05.558;05.563;0.123077
05.558;05.564;0.138122
05.558;05.565;0.21608
05.558;05.566;0.148936
05.558;05.567;0.12987
05.558;05.568;0.153846
05.558;05.569;0.157576
05.558;05.570;0.223242
05.558;05.571;0.08
05.558;05.572;0.0446429
05.558;05.573;0.168254
05.558;05.574;0.0769231
05.558;05.575;0.171429
05.558;05.576;0.0
05.558;05.577;0.0
05.558;05.578;0.0
05.558;05.579;0.0
05.558;05.580;0.0
05.558;05.581;0
05.558;05.582;0.0947368
05.558;05.583;0.0
05.558;05.584;0.08
05.558;05.585;0.17
05.558;05.586;0.136364
05.558;05.587;0.133333
05.558;05.588;0.0
05.558;05.589;0.0659341
05.558;05.590;0.124424
05.558;05.591;0.0
05.558;05.592;0.0
05.558;05.593;0.0322581
05.558;05.594;0.0
05.558;05.595;0.0434783
05.558;05.596;0.0638298
05.558;05.597;0
05.558;05.598;0.0689655
05.558;05.599;0
05.558;05.600;0.037037
05.558;05.601;0
05.558;05.604;0.0645161
05.558;05.607;0.0666667
05.558;05.611;0.191919
05.558;05.613;0.0333333
05.558;05.614;0.111111
05.558;05.615;0.0
05.558;05.616;0
05.558;22.400;0.0
05.559;05.554;0.340517
05.559;05.555;0.196721
05.559;05.556;0.201183
05.559;05.557;0.294845
05.559;05.558;0.171875
05.559;05.559;0.284768
05.559;05.560;0.0350877
05.559;05.561;0.258427
05.559;05.562;0.32419
05.559;05.563;0.175258
05.559;05.564;0.166667
05.559;05.565;0.30198
05.559;05.566;0.292683
05.559;05.567;0.205882
05.559;05.568;0.230159
05.559;05.569;0.0921053
05.559;05.570;0.269122
05.559;05.571;0.148148
05.559;05.572;0.121951
05.559;05.573;0.114035
05.559;05.574;0.0
05.559;05.575;0.137931
05.559;05.576;0.0
05.559;05.577;0.0909091
05.559;05.578;0.0
05.559;05.579;0.0
05.559;05.580;0.214286
05.559;05.581;0.181818
05.559;05.582;0.0933333
05.559;05.583;0.0
05.559;05.584;0.24
05.559;05.585;0.181818
05.559;05.586;0.166667
05.559;05.587;0.125
05.559;05.588;0.0
05.559;05.589;0.0892857
05.559;05.590;0.165049
05.559;05.591;0.0
05.559;05.592;0.0
05.559;05.593;0
05.559;05.594;0.0
05.559;05.595;0.0625
05.559;05.596;0.0555556
05.559;05.597;0.0625
