ass1;ass2;sol
05.560;05.582;0
05.560;05.583;0
05.560;05.584;0
05.560;05.585;0
05.560;05.586;0
05.560;05.587;0
05.560;05.588;0
05.560;05.589;0
05.560;05.590;0
05.560;05.591;0
05.560;05.592;0
05.560;05.593;0
05.560;05.594;0
05.560;05.595;0
05.560;05.596;0
05.560;05.597;0
05.560;05.598;0
05.560;05.599;0
05.560;05.600;0
05.560;05.601;0
05.560;05.604;0
05.560;05.607;0
05.560;05.611;0
05.560;05.613;0
05.560;05.614;0
05.560;05.615;0
05.560;05.616;0
05.560;22.400;0
05.561;05.554;0.149390243902439
05.561;05.555;0.138719512195122
05.561;05.556;0.114329268292683
05.561;05.557;0.185975609756098
05.561;05.558;0.18140243902439
05.561;05.559;0
05.561;05.560;0
05.561;05.561;0
05.561;05.562;0.132621951219512
05.561;05.563;0
05.561;05.564;0.164634146341463
05.561;05.565;0.144817073170732
05.561;05.566;0.140243902439024
05.561;05.567;0.13109756097561
05.561;05.568;0.0807926829268293
05.561;05.569;0.109756097560976
05.561;05.570;0.440548780487805
05.561;05.571;0.143292682926829
05.561;05.572;0.195121951219512
05.561;05.573;0.176829268292683
05.561;05.574;0.160060975609756
05.561;05.575;0.344512195121951
05.561;05.576;0.167682926829268
05.561;05.577;0
05.561;05.578;0
05.561;05.579;0.0685975609756098
05.561;05.580;0
05.561;05.581;0.143292682926829
05.561;05.582;0.11280487804878
05.561;05.583;0.236280487804878
05.561;05.584;0.141768292682927
05.561;05.585;0.0823170731707317
05.561;05.586;0.149390243902439
05.561;05.587;0.152439024390244
05.561;05.588;0
05.561;05.589;0.277439024390244
05.561;05.590;0.167682926829268
05.561;05.591;0.170731707317073
05.561;05.592;0.230182926829268
05.561;05.593;0
05.561;05.594;0
05.561;05.595;0
05.561;05.596;0
05.561;05.597;0.163109756097561
05.561;05.598;0.222560975609756
05.561;05.599;0.18140243902439
05.561;05.600;0
05.561;05.601;0.272865853658537
05.561;05.604;0
05.561;05.607;0
05.561;05.611;0.149390243902439
05.561;05.613;0.172256097560976
05.561;05.614;0.38109756097561
05.561;05.615;0
05.561;05.616;0
05.561;22.400;0.172256097560976
05.562;05.554;0.123475609756098
05.562;05.555;0.125
05.562;05.556;0.0990853658536585
05.562;05.557;0.161585365853659
05.562;05.558;0.155487804878049
05.562;05.559;0
05.562;05.560;0
05.562;05.561;0.132621951219512
05.562;05.562;0
05.562;05.563;0
05.562;05.564;0.128048780487805
05.562;05.565;0.129573170731707
05.562;05.566;0.117378048780488
05.562;05.567;0.120426829268293
05.562;05.568;0.0670731707317073
05.562;05.569;0.0945121951219512
05.562;05.570;0.371951219512195
05.562;05.571;0.103658536585366
05.562;05.572;0.173780487804878
05.562;05.573;0.160060975609756
05.562;05.574;0.132621951219512
05.562;05.575;0.283536585365854
05.562;05.576;0.128048780487805
05.562;05.577;0
05.562;05.578;0
05.562;05.579;0.0685975609756098
